Opened,Name,City,State,City,Address
5/24/2016,La Cienega and Airdrome,Los Angeles,California,LosAngeles,"La Cienega and Airdrome, Los Angeles, California"
5/24/2016,Sherway Gardens Indigo,Toronto,Ontario,Toronto,"Sherway Gardens Indigo, Toronto, Ontario"
5/23/2016,Grapevine Mills Mall Kiosk,Grapevine,Texas,DallasFortWorth,"Grapevine Mills Mall Kiosk, Grapevine, Texas"
5/23/2016,Cactus and Tatum,Phoenix,Arizona,Phoenix,"Cactus and Tatum, Phoenix, Arizona"
5/23/2016,407 & McMakin,Bartonville,Texas,Denton,"407 & McMakin, Bartonville, Texas"
5/23/2016,University & Sunrise,Round Rock,Texas,Austin,"University & Sunrise, Round Rock, Texas"
5/20/2016,Cornerstone Plaza,North Olmsted,Ohio,Cleveland,"Cornerstone Plaza, North Olmsted, Ohio"
5/20/2016,Clifton Park Center,Clifton Park,NewYork,Albany,"Clifton Park Center, Clifton Park, NewYork"
5/20/2016,S Wadsworth and W Jewel,Lakewood,Colorado,Denver,"S Wadsworth and W Jewel, Lakewood, Colorado"
5/18/2016,"11108 Yonge Street, Richmond Hill",Richmond Hill,Ontario,Toronto,"11108 Yonge Street, Richmond Hill, Richmond Hill, Ontario"
5/18/2016,Carrefour Laval RELO,Montreal,Quebec,Montreal,"Carrefour Laval RELO, Montreal, Quebec"
5/16/2016,Robb and Sharlands - Reno,Reno,Nevada,Reno,"Robb and Sharlands - Reno, Reno, Nevada"
5/16/2016,West Adams & Hilliard,Temple,Texas,RemoteMarkets,"West Adams & Hilliard, Temple, Texas"
5/16/2016,Oceanside-Long Beach Rd.,Oceanside,NewYork,LongIsland,"Oceanside-Long Beach Rd., Oceanside, NewYork"
5/13/2016,Los Cerritos Center,Cerritos,California,LosAngeles,"Los Cerritos Center, Cerritos, California"
5/13/2016,Lexington Rd & Marsailles Rd,Versailles,Kentucky,KentuckyRemoteMarkets,"Lexington Rd & Marsailles Rd, Versailles, Kentucky"
5/13/2016,Washington Square West Kiosk,Tigard,Oregon,Portland,"Washington Square West Kiosk, Tigard, Oregon"
5/13/2016,Stockdale Hwy & Calloway Drive,Bakersfield,California,CentralValley,"Stockdale Hwy & Calloway Drive, Bakersfield, California"
5/12/2016,Gonzales & Rose,Oxnard,California,Ventura,"Gonzales & Rose, Oxnard, California"
5/12/2016,York & Industrial,Elmhurst,Illinois,Chicagoland,"York & Industrial, Elmhurst, Illinois"
5/9/2016,63rd & 3rd Ave,New York,NewYork,NewYorkCity,"63rd & 3rd Ave, New York, NewYork"
5/9/2016,Plano & Renner,Richardson,Texas,DallasFortWorth,"Plano & Renner, Richardson, Texas"
5/7/2016,26th & Yeon,Portland,Oregon,Portland,"26th & Yeon, Portland, Oregon"
5/7/2016,N Decatur & Church,Decatur,Georgia,Atlanta,"N Decatur & Church, Decatur, Georgia"
5/7/2016,Outlets at Little Rock,Little Rock,Arkansas,,"Outlets at Little Rock, Little Rock, Arkansas"
5/7/2016,Rutland Crossing,Kelowna,BritishColumbia,EasternBritishColumbia,"Rutland Crossing, Kelowna, BritishColumbia"
5/6/2016,Martin Way & Kingham - Lacey,Lacey,Washington,Olympia,"Martin Way & Kingham - Lacey, Lacey, Washington"
5/6/2016,Woodfield Mall Center Cour,Schaumburg,Illinois,Chicagoland,"Woodfield Mall Center Cour, Schaumburg, Illinois"
5/6/2016,N Lindbergh and New Halls Ferry,Florissant,Missouri,StLouis,"N Lindbergh and New Halls Ferry, Florissant, Missouri"
5/5/2016,Galloway Township,Galloway,NewJersey,,"Galloway Township, Galloway, NewJersey"
5/5/2016,200 North Michigan Avenue,Chicago,Illinois,Chicagoland,"200 North Michigan Avenue, Chicago, Illinois"
5/5/2016,Cedar Knolls Hanover,Hanover,NewJersey,,"Cedar Knolls Hanover, Hanover, NewJersey"
5/3/2016,Horton Plaza - Pavilion Area,San Diego,California,SanDiego,"Horton Plaza - Pavilion Area, San Diego, California"
5/3/2016,Army Trail & Bloomingdale,Glendale Heights,Illinois,Chicagoland,"Army Trail & Bloomingdale, Glendale Heights, Illinois"
5/3/2016,Rio Rancho - 528 and Southern,Rio Rancho,NewMexico,Albuquerque,"Rio Rancho - 528 and Southern, Rio Rancho, NewMexico"
5/2/2016,7th & Peachtree,Atlanta,Georgia,Atlanta,"7th & Peachtree, Atlanta, Georgia"
4/29/2016,Dublin Mall,Dublin,Georgia,GeorgiaRemoteMarkets,"Dublin Mall, Dublin, Georgia"
4/29/2016,Latrobe,Latrobe,Pennsylvania,Pittsburgh,"Latrobe, Latrobe, Pennsylvania"
4/29/2016,W Florissant & Somerset - Ferguson,Ferguson,Missouri,StLouis,"W Florissant & Somerset - Ferguson, Ferguson, Missouri"
4/29/2016,Stirling Rd & University Dr,Cooper City,Florida,BrowardCounty,"Stirling Rd & University Dr, Cooper City, Florida"
4/29/2016,Windward & Cingular,Alpharetta,Georgia,Atlanta,"Windward & Cingular, Alpharetta, Georgia"
4/29/2016,Newell & S. Main Street,Walnut Creek,California,ContraCostaCounty,"Newell & S. Main Street, Walnut Creek, California"
4/28/2016,Clark and Diversey,Chicago,Illinois,Chicagoland,"Clark and Diversey, Chicago, Illinois"
4/25/2016,Hwy 111 & Magnesia Falls,Rancho Mirage,California,PalmSprings,"Hwy 111 & Magnesia Falls, Rancho Mirage, California"
4/25/2016,William D Tate & Hwy 114,Grapevine,Texas,DallasFortWorth,"William D Tate & Hwy 114, Grapevine, Texas"
4/25/2016,Paramount & Imperial,Downey,California,LosAngeles,"Paramount & Imperial, Downey, California"
4/24/2016,Four Seasons Boulevard & I-26,Hendersonville,NorthCarolina,Asheville,"Four Seasons Boulevard & I-26, Hendersonville, NorthCarolina"
4/22/2016,Eastern & Coronado Center,Henderson,Nevada,LasVegas,"Eastern & Coronado Center, Henderson, Nevada"
4/21/2016,128th St SW & 4th Ave W - Everett,Everett,Washington,Seattle,"128th St SW & 4th Ave W - Everett, Everett, Washington"
4/21/2016,Lionville DT,Exton,Pennsylvania,Philadelphia,"Lionville DT, Exton, Pennsylvania"
4/21/2016,Union Station Chicago,Chicago,Illinois,Chicagoland,"Union Station Chicago, Chicago, Illinois"
4/20/2016,Pottstown,Stowe,Pennsylvania,Philadelphia,"Pottstown, Stowe, Pennsylvania"
4/19/2016,Columbus Circle Subway,New York,NewYork,NewYorkCity,"Columbus Circle Subway, New York, NewYork"
4/18/2016,Eagle Creek Village SC,Victoria,BritishColumbia,VancouverIsland,"Eagle Creek Village SC, Victoria, BritishColumbia"
4/18/2016,I-35 & CR 123,San Marcos,Texas,SanAntonio,"I-35 & CR 123, San Marcos, Texas"
4/18/2016,222 Broadway,New York,NewYork,NewYorkCity,"222 Broadway, New York, NewYork"
4/18/2016,Ellsworth Rd & Rittenhouse Rd,Queen Creek,Arizona,Phoenix,"Ellsworth Rd & Rittenhouse Rd, Queen Creek, Arizona"
4/18/2016,46th between 6th and 5th,New York,NewYork,NewYorkCity,"46th between 6th and 5th, New York, NewYork"
4/15/2016,Asheville Outlets,Asheville,NorthCarolina,Asheville,"Asheville Outlets, Asheville, NorthCarolina"
4/14/2016,Linwood Plaza,Colchester,Connecticut,Hartford,"Linwood Plaza, Colchester, Connecticut"
4/14/2016,1619 Orleans Blvd,Ottawa,Ontario,Ottawa,"1619 Orleans Blvd, Ottawa, Ontario"
4/14/2016,3300 Bloor Street West,Toronto,Ontario,Toronto,"3300 Bloor Street West, Toronto, Ontario"
4/13/2016,Mira Mesa & Camino Ruiz,San Diego,California,SanDiego,"Mira Mesa & Camino Ruiz, San Diego, California"
4/11/2016,Collier Blvd & Immokalee Rd,Naples,Florida,Naples,"Collier Blvd & Immokalee Rd, Naples, Florida"
4/11/2016,303 Congress Street,Boston,Massachusetts,Boston,"303 Congress Street, Boston, Massachusetts"
4/9/2016,Pico & Stewart,Santa Monica,California,LosAngeles,"Pico & Stewart, Santa Monica, California"
4/8/2016,Eaton Center - McGill Station,Montreal,Quebec,Montreal,"Eaton Center - McGill Station, Montreal, Quebec"
4/8/2016,"Chambersburg, Norland Ave",Chambersburg,Pennsylvania,PennsylvaniaRemoteMarkets,"Chambersburg, Norland Ave, Chambersburg, Pennsylvania"
4/8/2016,Western & Gateway,Jacksonville,NorthCarolina,NorthCarolinaRemoteMarkets,"Western & Gateway, Jacksonville, NorthCarolina"
4/7/2016,Franklin & Villard - Eugene,Eugene,Oregon,WestCentralOregon,"Franklin & Villard - Eugene, Eugene, Oregon"
4/7/2016,King George Gateway,King George,Virginia,VirginiaRemoteMarkets,"King George Gateway, King George, Virginia"
4/7/2016,Cochran and Galena,Simi Valley,California,Ventura,"Cochran and Galena, Simi Valley, California"
4/5/2016,Arrowhead Towne Center Kiosk,Glendale,Arizona,Phoenix,"Arrowhead Towne Center Kiosk, Glendale, Arizona"
4/1/2016,Fowler & 15th,Tampa,Florida,Tampa,"Fowler & 15th, Tampa, Florida"
4/1/2016,92-77 Queens Blvd,Rego Park,NewYork,NewYorkCity,"92-77 Queens Blvd, Rego Park, NewYork"
4/1/2016,6700 W Atlantic Blvd,Margate,Florida,BrowardCounty,"6700 W Atlantic Blvd, Margate, Florida"
4/1/2016,ABQ - Rio Grande and I-40,Albuquerque,NewMexico,Albuquerque,"ABQ - Rio Grande and I-40, Albuquerque, NewMexico"
4/1/2016,International Pkwy & Heathrow Park,Lake Mary,Florida,Orlando,"International Pkwy & Heathrow Park, Lake Mary, Florida"
4/1/2016,Park Blvd & Seminole Blvd,Seminole,Florida,Tampa,"Park Blvd & Seminole Blvd, Seminole, Florida"
4/1/2016,Old Milton & Amber Park,Alpharetta,Georgia,Atlanta,"Old Milton & Amber Park, Alpharetta, Georgia"
3/31/2016,Foothill & Madison,Monrovia,California,LosAngeles,"Foothill & Madison, Monrovia, California"
3/31/2016,Grand & Golden Springs,Diamond Bar,California,RiversideSanBernardinoCounty,"Grand & Golden Springs, Diamond Bar, California"
3/31/2016,Mt Juliet - Lebanon Rd,Mt Juliet,Tennessee,Nashville,"Mt Juliet - Lebanon Rd, Mt Juliet, Tennessee"
3/31/2016,Talmadge & Monroe,Toledo,Ohio,Toledo,"Talmadge & Monroe, Toledo, Ohio"
3/29/2016,I-10 & Cielo Vista,San Antonio,Texas,SanAntonio,"I-10 & Cielo Vista, San Antonio, Texas"
3/29/2016,Hwy 49 & Steelecroft Pkwy,Charlotte,NorthCarolina,Charlotte,"Hwy 49 & Steelecroft Pkwy, Charlotte, NorthCarolina"
3/28/2016,Chimney Rock Rd & Richmond Ave,Houston,Texas,Houston,"Chimney Rock Rd & Richmond Ave, Houston, Texas"
3/27/2016,42nd & Ben Sheppard,Odessa,Texas,RemoteMarkets,"42nd & Ben Sheppard, Odessa, Texas"
3/25/2016,Lyndale and Last Chance - Helena,Helena,Montana,,"Lyndale and Last Chance - Helena, Helena, Montana"
3/25/2016,Market at Morse & Hamilton,Columbus,Ohio,Columbus,"Market at Morse & Hamilton, Columbus, Ohio"
3/25/2016,Grandview Crossing,Gibsonia,Pennsylvania,Pittsburgh,"Grandview Crossing, Gibsonia, Pennsylvania"
3/24/2016,Ave 18.5 & Hwy 99,Madera,California,CentralValley,"Ave 18.5 & Hwy 99, Madera, California"
3/24/2016,Hwy 3 & Finn Hill Rd,Poulsbo,Washington,Seattle,"Hwy 3 & Finn Hill Rd, Poulsbo, Washington"
3/24/2016,Loop 286 & Lamar,Paris,Texas,RemoteMarkets,"Loop 286 & Lamar, Paris, Texas"
3/23/2016,I-75 and Liberty Way,Liberty Township,Ohio,Cincinnati,"I-75 and Liberty Way, Liberty Township, Ohio"
3/21/2016,Square One South,Mississauga,Ontario,Toronto,"Square One South, Mississauga, Ontario"
3/18/2016,Granby & Plume,Norfolk,Virginia,ChesapeakeBayRegion,"Granby & Plume, Norfolk, Virginia"
3/18/2016,SR-37 & Pleasant - Noblesville,Noblesville,Indiana,Indianapolis,"SR-37 & Pleasant - Noblesville, Noblesville, Indiana"
3/17/2016,17B Leslie Street,Toronto,Ontario,Toronto,"17B Leslie Street, Toronto, Ontario"
3/16/2016,Irvine Center Drive & Research,Irvine,California,OrangeCounty,"Irvine Center Drive & Research, Irvine, California"
3/16/2016,Grand Ave & Elm Street,Arroyo Grande,California,CentralCoast,"Grand Ave & Elm Street, Arroyo Grande, California"
3/15/2016,Bruce B Downs & E 132nd St,Tampa,Florida,Tampa,"Bruce B Downs & E 132nd St, Tampa, Florida"
3/12/2016,Berkeley & Union - Tillicum,Lakewood,Washington,Tacoma,"Berkeley & Union - Tillicum, Lakewood, Washington"
3/11/2016,Flatbush Ave & Kings Hwy,Brooklyn,NewYork,NewYorkCity,"Flatbush Ave & Kings Hwy, Brooklyn, NewYork"
3/11/2016,SR 70 & Lockwood,Bradenton,Florida,SarasotaBradenton,"SR 70 & Lockwood, Bradenton, Florida"
3/10/2016,Hwy 49 & Willow Creek,Auburn,California,Sacramento,"Hwy 49 & Willow Creek, Auburn, California"
3/10/2016,Jamboree & Bryan,Irvine,California,OrangeCounty,"Jamboree & Bryan, Irvine, California"
3/10/2016,Stonebridge Centre,Saskatoon,Saskatchewan,,"Stonebridge Centre, Saskatoon, Saskatchewan"
3/7/2016,89th Ave & Sutphin Blvd.,Queens,NewYork,NewYorkCity,"89th Ave & Sutphin Blvd., Queens, NewYork"
3/7/2016,Ontario Mills & Mills Circle,Ontario,California,RiversideSanBernardinoCounty,"Ontario Mills & Mills Circle, Ontario, California"
3/5/2016,Elliott Rd & Hwy 99 - Newberg,Newberg,Oregon,Portland,"Elliott Rd & Hwy 99 - Newberg, Newberg, Oregon"
3/5/2016,I-90 & Sutton Rd. - Prairie Stone,Hoffman Estates,Illinois,Chicagoland,"I-90 & Sutton Rd. - Prairie Stone, Hoffman Estates, Illinois"
3/4/2016,US 17-92 & Orange Camp Rd,Deland,Florida,Orlando,"US 17-92 & Orange Camp Rd, Deland, Florida"
3/3/2016,270 Amirault,Dieppe,NewBrunswick,,"270 Amirault, Dieppe, NewBrunswick"
3/3/2016,"North Bergen, River Rd.",North Bergen,NewJersey,,"North Bergen, River Rd., North Bergen, NewJersey"
3/1/2016,Folsom & Dawes,Rancho Cordova,California,Sacramento,"Folsom & Dawes, Rancho Cordova, California"
3/1/2016,Agency and Roosevelt - Burlington,Burlington,Iowa,,"Agency and Roosevelt - Burlington, Burlington, Iowa"
2/29/2016,"Alma School & Baseline Rd, Mesa",Mesa,Arizona,Phoenix,"Alma School & Baseline Rd, Mesa, Mesa, Arizona"
2/26/2016,378 Welton Street,Sydney,NovaScotia,,"378 Welton Street, Sydney, NovaScotia"
2/26/2016,"Hartsdale, South Central Ave",Hartsdale,NewYork,WestchesterCounty,"Hartsdale, South Central Ave, Hartsdale, NewYork"
2/26/2016,White Bear Ave & I-694,White Bear Lake,Minnesota,Minneapolis,"White Bear Ave & I-694, White Bear Lake, Minnesota"
2/25/2016,2500 N Roosevelt Blvd,Key West,Florida,FloridaRemoteMarkets,"2500 N Roosevelt Blvd, Key West, Florida"
2/25/2016,Santa Monica & Robertson,West Hollywood,California,LosAngeles,"Santa Monica & Robertson, West Hollywood, California"
2/22/2016,Yucaipa & 6th,Yucaipa,California,RiversideSanBernardinoCounty,"Yucaipa & 6th, Yucaipa, California"
2/19/2016,Firetower Road and S. Memorial,Greenville,NorthCarolina,NorthCarolinaRemoteMarkets,"Firetower Road and S. Memorial, Greenville, NorthCarolina"
2/18/2016,JFK and North Hills,North Little Rock,Arkansas,,"JFK and North Hills, North Little Rock, Arkansas"
2/18/2016,NE 4th Street and Union Ave NE,Renton,Washington,Seattle,"NE 4th Street and Union Ave NE, Renton, Washington"
2/17/2016,Eldridge & West,Houston,Texas,Houston,"Eldridge & West, Houston, Texas"
2/17/2016,Union Station - Go West Concourse,Toronto,Ontario,Toronto,"Union Station - Go West Concourse, Toronto, Ontario"
2/17/2016,"Norwalk, Darinor Plaza",Norwalk,Connecticut,SouthernConnecticut,"Norwalk, Darinor Plaza, Norwalk, Connecticut"
2/16/2016,SR 54 & Little Rd,Trinity,Florida,StPetersburg,"SR 54 & Little Rd, Trinity, Florida"
2/15/2016,Hwy 90 & Easton,Sugar Land,Texas,Houston,"Hwy 90 & Easton, Sugar Land, Texas"
2/14/2016,Houston Galleria Downstairs,Houston,Texas,Houston,"Houston Galleria Downstairs, Houston, Texas"
2/12/2016,Las Vegas - Decatur and Hwy 215,Las Vegas,Nevada,LasVegas,"Las Vegas - Decatur and Hwy 215, Las Vegas, Nevada"
2/12/2016,Lehi - Main St and I-15,Lehi,Utah,,"Lehi - Main St and I-15, Lehi, Utah"
2/12/2016,Huguenot Village Shopping Center,Richmond,Virginia,Richmond,"Huguenot Village Shopping Center, Richmond, Virginia"
2/12/2016,210 W. Ironwood Drive,Couer d`Alene,Idaho,NorthernIdaho,"210 W. Ironwood Drive, Couer d`Alene, Idaho"
2/12/2016,US 75 & Beltline,Richardson,Texas,DallasFortWorth,"US 75 & Beltline, Richardson, Texas"
2/11/2016,Edwards Crossing - Yale & Ontario,Chilliwack,BritishColumbia,Vancouver,"Edwards Crossing - Yale & Ontario, Chilliwack, BritishColumbia"
2/11/2016,Lincoln & 84th,Los Angeles,California,LosAngeles,"Lincoln & 84th, Los Angeles, California"
2/10/2016,CR 21 and Old Carriage - Shakopee,Shakopee,Minnesota,Minneapolis,"CR 21 and Old Carriage - Shakopee, Shakopee, Minnesota"
2/8/2016,US 290 & Lexington,Manor,Texas,Austin,"US 290 & Lexington, Manor, Texas"
2/5/2016,1304 F Street,Washington,WashingtonDC,WashingtonDC,"1304 F Street, Washington, WashingtonDC"
2/5/2016,Woodmere Center,Woodmere,Ohio,Cleveland,"Woodmere Center, Woodmere, Ohio"
2/4/2016,Redlands & Clark,Redlands,California,RiversideSanBernardinoCounty,"Redlands & Clark, Redlands, California"
2/4/2016,Villanova,Villanova,Pennsylvania,Philadelphia,"Villanova, Villanova, Pennsylvania"
2/4/2016,University & Buchanan Ave.,Charlottetown,PrinceEdwardIsland,,"University & Buchanan Ave., Charlottetown, PrinceEdwardIsland"
2/3/2016,Cooper & Warner,Gilbert,Arizona,Phoenix,"Cooper & Warner, Gilbert, Arizona"
2/1/2016,Rivercenter Mall,San Antonio,Texas,SanAntonio,"Rivercenter Mall, San Antonio, Texas"
1/29/2016,Lawrenceville Suwanee & Nrtholt Pky,Suwanee,Georgia,Atlanta,"Lawrenceville Suwanee & Nrtholt Pky, Suwanee, Georgia"
1/29/2016,E Ennis Ave & Mulberry,Ennis,Texas,RemoteMarkets,"E Ennis Ave & Mulberry, Ennis, Texas"
1/29/2016,Danforth & Monarch Park,Toronto,Ontario,Toronto,"Danforth & Monarch Park, Toronto, Ontario"
1/29/2016,Amos Hall,Pittsburgh,Pennsylvania,Pittsburgh,"Amos Hall, Pittsburgh, Pennsylvania"
1/28/2016,Cure-Labelle & Cloutier,Rosemere,Quebec,Montreal,"Cure-Labelle & Cloutier, Rosemere, Quebec"
1/28/2016,Central & The I-10,Montclair,California,RiversideSanBernardinoCounty,"Central & The I-10, Montclair, California"
1/28/2016,Birchmount & Sheppard,Toronto,Ontario,Toronto,"Birchmount & Sheppard, Toronto, Ontario"
1/28/2016,Wynnewood,Wynnewood,Pennsylvania,Philadelphia,"Wynnewood, Wynnewood, Pennsylvania"
1/27/2016,1117 Savannah Hwy,Charleston,SouthCarolina,Charleston,"1117 Savannah Hwy, Charleston, SouthCarolina"
1/25/2016,Bay Area & Glenwest,Webster,Texas,Houston,"Bay Area & Glenwest, Webster, Texas"
1/23/2016,White Bluff and Abercorn Street,Savannah,Georgia,Savannah,"White Bluff and Abercorn Street, Savannah, Georgia"
1/21/2016,Garrison & Vedder,Chilliwack,BritishColumbia,Vancouver,"Garrison & Vedder, Chilliwack, BritishColumbia"
1/20/2016,I-35 & N Tarrant Pkwy,Fort Worth,Texas,DallasFortWorth,"I-35 & N Tarrant Pkwy, Fort Worth, Texas"
1/20/2016,Hwy 290 & 34th St,Houston,Texas,Houston,"Hwy 290 & 34th St, Houston, Texas"
1/18/2016,"Kino & I-10, Tucson Marketplace",Tucson,Arizona,Tucson,"Kino & I-10, Tucson Marketplace, Tucson, Arizona"
1/18/2016,6th between 39th and 40th,New York,NewYork,NewYorkCity,"6th between 39th and 40th, New York, NewYork"
1/18/2016,Billings - Main Street,Billings,Montana,,"Billings - Main Street, Billings, Montana"
1/15/2016,Lake Mary & Sun,Lake Mary,Florida,Orlando,"Lake Mary & Sun, Lake Mary, Florida"
1/14/2016,Blue Ravine & Natoma Station,Folsom,California,Sacramento,"Blue Ravine & Natoma Station, Folsom, California"
1/14/2016,Water Street & Bishops Cove,St. Johns,Newfoundland,,"Water Street & Bishops Cove, St. Johns, Newfoundland"
1/11/2016,21st & Yale Ave,Tulsa,Oklahoma,Tulsa,"21st & Yale Ave, Tulsa, Oklahoma"
1/8/2016,827 Arthur Godfrey Road,Miami Beach,Florida,Miami,"827 Arthur Godfrey Road, Miami Beach, Florida"
1/8/2016,1020 S. Main Street,Kernersville,NorthCarolina,WinstonSalem,"1020 S. Main Street, Kernersville, NorthCarolina"
1/7/2016,600 Route 38 Cherry Hill,Cherry Hill,NewJersey,,"600 Route 38 Cherry Hill, Cherry Hill, NewJersey"
1/7/2016,Citrus & Arrow,Covina,California,LosAngeles,"Citrus & Arrow, Covina, California"
1/7/2016,Sunrise & Cirby Roseville,Roseville,California,Sacramento,"Sunrise & Cirby Roseville, Roseville, California"
1/4/2016,Beltway 8 & Harwin,Houston,Texas,Houston,"Beltway 8 & Harwin, Houston, Texas"
1/4/2016,53rd Inside Park Ave Plaza,New York,NewYork,NewYorkCity,"53rd Inside Park Ave Plaza, New York, NewYork"
12/28/2015,Central and 53rd - Fridley,Fridley,Minnesota,Minneapolis,"Central and 53rd - Fridley, Fridley, Minnesota"
12/22/2015,Calumet & Braden - Munster,Munster,Indiana,NorthwestIndiana,"Calumet & Braden - Munster, Munster, Indiana"
12/21/2015,56th Street & Indian School,Phoenix,Arizona,Phoenix,"56th Street & Indian School, Phoenix, Arizona"
12/21/2015,Esmark Center -Sewickley,Sewickley,Pennsylvania,Pittsburgh,"Esmark Center -Sewickley, Sewickley, Pennsylvania"
12/21/2015,Durham Chapel Hill & Tower Blvd,Durham,NorthCarolina,RaleighDurhamChapelHill,"Durham Chapel Hill & Tower Blvd, Durham, NorthCarolina"
12/20/2015,Edina - Hwy 100 and Industrial Blvd,Edina,Minnesota,Minneapolis,"Edina - Hwy 100 and Industrial Blvd, Edina, Minnesota"
12/20/2015,295 North Front Street-Belleville,Belleville,Ontario,KingstonBelleville,"295 North Front Street-Belleville, Belleville, Ontario"
12/16/2015,Brandywine Mills,Glen Mills,Pennsylvania,Philadelphia,"Brandywine Mills, Glen Mills, Pennsylvania"
12/15/2015,Broken Arrow Expy & S Lynn Lane,Tulsa,Oklahoma,Tulsa,"Broken Arrow Expy & S Lynn Lane, Tulsa, Oklahoma"
12/14/2015,40th btwn Madison & 5th,New York,NewYork,NewYorkCity,"40th btwn Madison & 5th, New York, NewYork"
12/13/2015,82nd & King,Portland,Oregon,Portland,"82nd & King, Portland, Oregon"
12/13/2015,S. Rice & West Park Tollway,Houston,Texas,Houston,"S. Rice & West Park Tollway, Houston, Texas"
12/12/2015,Huntingdon Valley Shopping Center,Abington,Pennsylvania,Philadelphia,"Huntingdon Valley Shopping Center, Abington, Pennsylvania"
12/12/2015,7th & Westlake - Seattle,Seattle,Washington,Seattle,"7th & Westlake - Seattle, Seattle, Washington"
12/11/2015,ABQ - Juan Tabo and Montgomery,Albuquerque,NewMexico,Albuquerque,"ABQ - Juan Tabo and Montgomery, Albuquerque, NewMexico"
12/10/2015,Gateway Village Saanich,Saanich,BritishColumbia,VancouverIsland,"Gateway Village Saanich, Saanich, BritishColumbia"
12/9/2015,One Market,San Francisco,California,SanFrancisco,"One Market, San Francisco, California"
12/8/2015,81st & Olympia,Tulsa,Oklahoma,Tulsa,"81st & Olympia, Tulsa, Oklahoma"
12/5/2015,Plaza 15 Shopping Center,Lewisburg,Pennsylvania,PennsylvaniaRemoteMarkets,"Plaza 15 Shopping Center, Lewisburg, Pennsylvania"
12/4/2015,"Alliance, West State St.",Alliance,Ohio,OhioRemoteMarkets,"Alliance, West State St., Alliance, Ohio"
12/4/2015,Outlets at San Clemente,San Clemente,California,OrangeCounty,"Outlets at San Clemente, San Clemente, California"
12/3/2015,Hwy 246 & McMurray,Buellton,California,CentralCoast,"Hwy 246 & McMurray, Buellton, California"
12/3/2015,White & Hughes,Bakersfield,California,CentralValley,"White & Hughes, Bakersfield, California"
12/2/2015,Bourque & Mi-Vallon,Sherbrooke,Quebec,Sherbrooke,"Bourque & Mi-Vallon, Sherbrooke, Quebec"
12/1/2015,3750 4th Street SW - Mason City,Mason City,Iowa,,"3750 4th Street SW - Mason City, Mason City, Iowa"
11/30/2015,26th between 10th and 11th,New York,NewYork,NewYorkCity,"26th between 10th and 11th, New York, NewYork"
11/30/2015,34th & Lancaster,Philadelphia,Pennsylvania,Philadelphia,"34th & Lancaster, Philadelphia, Pennsylvania"
11/27/2015,Dufferin Mall,Toronto,Ontario,Toronto,"Dufferin Mall, Toronto, Ontario"
11/26/2015,Dawson Creek,Dawson Creek,BritishColumbia,BritishColumbiaRemoteMarkets,"Dawson Creek, Dawson Creek, BritishColumbia"
11/25/2015,Steamboat-Hwy 40 and Anglers,Steamboat Springs,Colorado,ColoradoRemoteMarkets,"Steamboat-Hwy 40 and Anglers, Steamboat Springs, Colorado"
11/24/2015,Belleville Rd & I-94,Belleville,Michigan,Detroit,"Belleville Rd & I-94, Belleville, Michigan"
11/24/2015,Jersey Shore Premium Outlets,Tinton Falls,NewJersey,,"Jersey Shore Premium Outlets, Tinton Falls, NewJersey"
11/24/2015,Ontario Mills Mall 2,Ontario,California,RiversideSanBernardinoCounty,"Ontario Mills Mall 2, Ontario, California"
11/22/2015,240 Route 202 - Flemington,Flemington,NewJersey,,"240 Route 202 - Flemington, Flemington, NewJersey"
11/22/2015,"I-10 & Memorial City Way, Houston",Houston,Texas,Houston,"I-10 & Memorial City Way, Houston, Houston, Texas"
11/22/2015,Waterbury West Main Street,Waterbury,Connecticut,SouthernConnecticut,"Waterbury West Main Street, Waterbury, Connecticut"
11/20/2015,CR 42 and Burnhaven Dr,Burnsville,Minnesota,Minneapolis,"CR 42 and Burnhaven Dr, Burnsville, Minnesota"
11/20/2015,Madison Farms,Bethlehem,Pennsylvania,PennsylvaniaRemoteMarkets,"Madison Farms, Bethlehem, Pennsylvania"
11/20/2015,Laurel Canyon & Burbank,Valley Village,California,LosAngeles,"Laurel Canyon & Burbank, Valley Village, California"
11/20/2015,Frisco,Frisco,Colorado,ColoradoRemoteMarkets,"Frisco, Frisco, Colorado"
11/20/2015,Clearwater Springs SC,Indianapolis,Indiana,Indianapolis,"Clearwater Springs SC, Indianapolis, Indiana"
11/20/2015,Van Horne & Wiseman,Montreal,Quebec,Montreal,"Van Horne & Wiseman, Montreal, Quebec"
11/19/2015,Byron Ctr - 84th & US-131,Byron Center,Michigan,GrandRapids,"Byron Ctr - 84th & US-131, Byron Center, Michigan"
11/19/2015,Army Trail & Gary,Bloomingdale,Illinois,Chicagoland,"Army Trail & Gary, Bloomingdale, Illinois"
11/19/2015,135th & Quivira,Overland Park,Kansas,KansasCityKansas,"135th & Quivira, Overland Park, Kansas"
11/19/2015,Santa Monica Place Mall - East Wing,Santa Monica,California,LosAngeles,"Santa Monica Place Mall - East Wing, Santa Monica, California"
11/17/2015,Place Laurier,Quebec,Quebec,QuebecCity,"Place Laurier, Quebec, Quebec"
11/16/2015,Hwy 70 & Smithfield Crossing,Smithfield,NorthCarolina,NorthCarolinaRemoteMarkets,"Hwy 70 & Smithfield Crossing, Smithfield, NorthCarolina"
