Opened,Name,City,State,City,Address
6/26/2017,Outlets at Edison,Edison,NewJersey,,"Outlets at Edison, Edison, NewJersey"
6/23/2017,"Chestnut Ridge Rd, Morgantown",Morgantown,WestVirginia,,"Chestnut Ridge Rd, Morgantown, Morgantown, WestVirginia"
6/23/2017,LaVista and Ranchwood,Tucker,Georgia,Atlanta,"LaVista and Ranchwood, Tucker, Georgia"
6/22/2017,Blue Bell,Blue Bell,Pennsylvania,Philadelphia,"Blue Bell, Blue Bell, Pennsylvania"
6/21/2017,Foothill & San Gabriel,Pasadena,California,LosAngeles,"Foothill & San Gabriel, Pasadena, California"
6/20/2017,Broadway btwn 51st-52nd St.,New York,NewYork,NewYorkCity,"Broadway btwn 51st-52nd St., New York, NewYork"
6/19/2017,Horsetooth and College - Ft Collins,Fort Collins,Colorado,FortCollins,"Horsetooth and College - Ft Collins, Fort Collins, Colorado"
6/19/2017,Hall & 75,Dallas,Texas,DallasFortWorth,"Hall & 75, Dallas, Texas"
6/16/2017,US 64 & Knollwood Drive,Apex,NorthCarolina,RaleighDurhamChapelHill,"US 64 & Knollwood Drive, Apex, NorthCarolina"
6/16/2017,Peachtree and Colliers Atlanta,Atlanta,Georgia,Atlanta,"Peachtree and Colliers Atlanta, Atlanta, Georgia"
6/15/2017,9th & Palm,Imperial Beach,California,SanDiego,"9th & Palm, Imperial Beach, California"
6/15/2017,Fort St. John,Fort St. John,BritishColumbia,BritishColumbiaRemoteMarkets,"Fort St. John, Fort St. John, BritishColumbia"
6/15/2017,Lindbergh & St Charles Rock Rd,St Ann,Missouri,StLouis,"Lindbergh & St Charles Rock Rd, St Ann, Missouri"
6/15/2017,Convoy St. & Ostrow St.,San Diego,California,SanDiego,"Convoy St. & Ostrow St., San Diego, California"
6/15/2017,Sunrise & Douglas,Rancho Cordova,California,Sacramento,"Sunrise & Douglas, Rancho Cordova, California"
6/13/2017,Minneapolis - 100 Hennepin,Minneapolis,Minnesota,Minneapolis,"Minneapolis - 100 Hennepin, Minneapolis, Minnesota"
6/12/2017,Chicago & Kingsbury,Chicago,Illinois,Chicagoland,"Chicago & Kingsbury, Chicago, Illinois"
6/10/2017,Mannheim Rd. & Grand Ave.,Franklin Park,Illinois,Chicagoland,"Mannheim Rd. & Grand Ave., Franklin Park, Illinois"
6/9/2017,"Attleboro, Washington St.",Attleboro,Massachusettes,Boston,"Attleboro, Washington St., Attleboro, Massachusettes"
6/9/2017,Country Club and Nelson,Lake Charles,Louisiana,LouisianaRemoteMarkets,"Country Club and Nelson, Lake Charles, Louisiana"
6/9/2017,SR 56 & I-75,Lutz,Florida,Tampa,"SR 56 & I-75, Lutz, Florida"
6/8/2017,Capitol & Brookfield,Brookfield,Wisconsin,Milwaukee,"Capitol & Brookfield, Brookfield, Wisconsin"
6/8/2017,7th & Hope (The Bloc),Los Angeles,California,LosAngeles,"7th & Hope (The Bloc), Los Angeles, California"
6/8/2017,Anderson - Beechmont & Five Mile,Cincinnati,Ohio,Cincinnati,"Anderson - Beechmont & Five Mile, Cincinnati, Ohio"
6/8/2017,Emerson Kinderkamack,Emerson,NewJersey,,"Emerson Kinderkamack, Emerson, NewJersey"
6/8/2017,Route 83 & Rand Rd,Mt Prospect,Illinois,Chicagoland,"Route 83 & Rand Rd, Mt Prospect, Illinois"
6/6/2017,111th and Route 59,Naperville,Illinois,Chicagoland,"111th and Route 59, Naperville, Illinois"
6/3/2017,"Cortland, Clinton Ave",Cortland,NewYork,NewYorkRemoteMarkets,"Cortland, Clinton Ave, Cortland, NewYork"
6/3/2017,Rose Pavilion,Pleasanton,California,AlamedaCounty,"Rose Pavilion, Pleasanton, California"
6/2/2017,Hwy 160 and I-77 Fort Mill,Fort Mill,SouthCarolina,SouthCarolinaRemoteMarkets,"Hwy 160 and I-77 Fort Mill, Fort Mill, SouthCarolina"
6/2/2017,2912 Collins Avenue,Miami Beach,Florida,Miami,"2912 Collins Avenue, Miami Beach, Florida"
6/2/2017,I-12 and Highway 21,Covington,Louisiana,NewOrleans,"I-12 and Highway 21, Covington, Louisiana"
6/2/2017,US 19 & 22nd Ave,St. Petersburg,Florida,StPetersburg,"US 19 & 22nd Ave, St. Petersburg, Florida"
6/1/2017,Gilbert & Baseline,Gilbert,Arizona,Phoenix,"Gilbert & Baseline, Gilbert, Arizona"
6/1/2017,Atlantic & 58th,Maywood,California,LosAngeles,"Atlantic & 58th, Maywood, California"
6/1/2017,Court St & 24th - Pasco,Pasco,Washington,SoutheasternWashington,"Court St & 24th - Pasco, Pasco, Washington"
6/1/2017,Preston West,Saskatoon,Saskatchewan,,"Preston West, Saskatoon, Saskatchewan"
5/31/2017,SR 20 & S. Burlington Blvd,Burlington,Washington,Bellingham,"SR 20 & S. Burlington Blvd, Burlington, Washington"
5/28/2017,151 York Boulevard,Hamilton,Ontario,Toronto,"151 York Boulevard, Hamilton, Ontario"
5/27/2017,Providence Road and Golf Links,Charlotte,NorthCarolina,Charlotte,"Providence Road and Golf Links, Charlotte, NorthCarolina"
5/26/2017,30 45th Street,Wasaga Beach,Ontario,Toronto,"30 45th Street, Wasaga Beach, Ontario"
5/26/2017,"Fairlawn, Medina Rd.",Akron,Ohio,Akron,"Fairlawn, Medina Rd., Akron, Ohio"
5/26/2017,Hwy 305 & Hostmark - Poulsbo,Poulsbo,Washington,Seattle,"Hwy 305 & Hostmark - Poulsbo, Poulsbo, Washington"
5/26/2017,"Bluebell Dr, New Philadelphia",New Philadelphia,Ohio,OhioRemoteMarkets,"Bluebell Dr, New Philadelphia, New Philadelphia, Ohio"
5/26/2017,Washington and Demers,Grand Forks,NorthDakota,,"Washington and Demers, Grand Forks, NorthDakota"
5/26/2017,NW 36th St & NW 72nd Ave,Miami,Florida,Miami,"NW 36th St & NW 72nd Ave, Miami, Florida"
5/25/2017,Hwy 11 and Pinnacle,Bristol,Tennessee,TennesseeRemoteMarkets,"Hwy 11 and Pinnacle, Bristol, Tennessee"
5/25/2017,Antonio & Ortega,Rancho Mission Viejo,California,OrangeCounty,"Antonio & Ortega, Rancho Mission Viejo, California"
5/25/2017,Highland & Boulder,Highland,California,RiversideSanBernardinoCounty,"Highland & Boulder, Highland, California"
5/25/2017,Clint Moore Rd & Military Trl,Boca Raton,Florida,PalmBeachCounty,"Clint Moore Rd & Military Trl, Boca Raton, Florida"
5/25/2017,Whittier & Michigan,Whittier,California,LosAngeles,"Whittier & Michigan, Whittier, California"
5/24/2017,40th & Broadway,New York,NewYork,NewYorkCity,"40th & Broadway, New York, NewYork"
5/22/2017,Green Springs Dr and Red Cliffs Dr,Washington,Utah,,"Green Springs Dr and Red Cliffs Dr, Washington, Utah"
5/22/2017,Windsor - 16th and Main,Windsor,Colorado,FortCollins,"Windsor - 16th and Main, Windsor, Colorado"
5/19/2017,Journal Square - Path Plaza,Jersey City,NewJersey,,"Journal Square - Path Plaza, Jersey City, NewJersey"
5/19/2017,999 Upper Wentworth Street,Hamilton,Ontario,Toronto,"999 Upper Wentworth Street, Hamilton, Ontario"
5/19/2017,Long Beach Blvd. & Willow St,Long Beach,California,LosAngeles,"Long Beach Blvd. & Willow St, Long Beach, California"
5/19/2017,Nocatee Parkway & Crosswater Pkwy,Ponte Vedra Beach,Florida,Jacksonville,"Nocatee Parkway & Crosswater Pkwy, Ponte Vedra Beach, Florida"
5/19/2017,One Loudoun,Ashburn,Virginia,NorthernVirginia,"One Loudoun, Ashburn, Virginia"
5/19/2017,"Scottsdale & Chauncey, Scottsdale",Scottsdale,Arizona,Phoenix,"Scottsdale & Chauncey, Scottsdale, Scottsdale, Arizona"
5/19/2017,Riverside & San Bernardino,Rialto,California,RiversideSanBernardinoCounty,"Riverside & San Bernardino, Rialto, California"
5/19/2017,"North Olmsted, Lorain Road",North Olmsted,Ohio,Cleveland,"North Olmsted, Lorain Road, North Olmsted, Ohio"
