,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
26,ROOFTOP,"3995 Cottrelle Blvd, Brampton, ON L6P 2P9, Canada",ChIJV1HeglEjK4gRkXhwh0eMN3k,"3995 Cottrelle Blvd, Brampton, Ontario",43.7843257,-79.6587964,1,L6P 2P9,OK,premise
27,ROOFTOP,"4627 East Sam Houston Pkwy S, Pasadena, TX 77505, USA",ChIJ8abUc8eYQIYR3a-SYXFWvJI,"Academy & Venetucci, Colorado Springs, Colorado",29.6398144,-95.1569306,1,77505,OK,"clothing_store,establishment,point_of_interest,shoe_store,store"
28,GEOMETRIC_CENTER,"Shawan Rd, Cockeysville, MD 21030, USA",ChIJAcw5LlYSyIkRLZgde3C60O8,"Shawan Rd, Cockeysville, Maryland",39.4970906,-76.6796279,1,21030,OK,route
29,ROOFTOP,"1 Tamarack Pl, Beckley, WV 25801, USA",ChIJJ3ltyWfyTogR1IOmksLDwDo,"Tamarack & I-5, Carlsbad, Carlsbad, California",37.80142379999999,-81.2172916,1,25801,OK,"art_gallery,establishment,point_of_interest,store"
30,ROOFTOP,"568 King St N, Waterloo, ON N2L 6L3, Canada",ChIJCX-vWMTzK4gRiP4X0Y5oFJ4,"568 King Street North, Waterloo, Ontario",43.500027,-80.529922,1,N2L 6L3,OK,street_address
31,ROOFTOP,"1100 Olive Way, Seattle, WA 98101, USA",ChIJlyzqGDUVkFQRjqPJwPWuQrk,"Metropolitan Park East, Seattle, Washington",47.6163534,-122.3301297,1,98101,OK,"establishment,point_of_interest,real_estate_agency"
32,ROOFTOP,"120 Laconia Rd, Tilton, NH 03276, USA",ChIJQwAAMC914okRvm82DYOmJeU,"Tilton, Tanger Outlets, Tilton, NewHampshire",43.45947899999999,-71.55973,1,03276,OK,"establishment,point_of_interest,shopping_mall,store"
33,ROOFTOP,"7680 Arundel Mills Blvd, Hanover, MD 21076, USA",ChIJ5bQjVOHjt4kRsoOcCRxJEKA,"7680 Arundel Mills, Hanover, Maryland",39.153264,-76.728212,1,21076,OK,street_address
34,GEOMETRIC_CENTER,"SC-146 & SC-296 & Five Forks Rd, Simpsonville, SC 29681, USA",EjxTQy0xNDYgJiBTQy0yOTYgJiBGaXZlIEZvcmtzIFJkLCBTaW1wc29udmlsbGUsIFNDIDI5NjgxLCBVU0E,"Woodruff and Five Forks, Simpsonville, SouthCarolina",34.8056296,-82.23041889999999,1,29681,OK,intersection
35,GEOMETRIC_CENTER,"Nuckols Rd, Glen Allen, VA, USA",ChIJjcK-jxVAsYkRW74Uu8s1PsA,"Nuckols Rd & Twin Hickory, Glen Allen, Virginia",37.6762225,-77.5847493,1,,OK,route
36,ROOFTOP,"382 Channel Dr, Port Washington, NY 11050, USA",ChIJ40HvniePwokRW7rG6P30Bdw,"PCH & Western, Lomita, California",40.84528299999999,-73.69942879999999,1,11050,OK,"establishment,point_of_interest"
37,ROOFTOP,"6910 Fayetteville Rd, Durham, NC 27713, USA",ChIJ5XOnY7jorIkR4j1gaj1RrLg,"Streets at Southpoint, South Durham, NorthCarolina",35.9055523,-78.93988159999999,1,27713,OK,"establishment,point_of_interest,shopping_mall"
38,,,,"McKinney & Olive, Dallas, Texas",,,0,,ZERO_RESULTS,
39,ROOFTOP,"1600 Premium Outlets Blvd, Norfolk, VA 23502, USA",ChIJ81QJ44yWuokRkjKyan6KIXQ,"Norfolk Premium Outlet, Norfolk, Virginia",36.8825373,-76.1973754,1,23502,OK,"establishment,point_of_interest,shopping_mall,store"
40,APPROXIMATE,"Bayview Village, Toronto, ON, Canada",ChIJY7haBszS1IkRKEnnhoWWELY,"Bayview Village, Toronto, Ontario",43.778243,-79.3827578,1,,OK,"neighborhood,political"
41,GEOMETRIC_CENTER,"AZ-95, Arizona, USA",ChIJU4VfKK6S0YARvgi0vufEY_M,"Hwy 95 & Silver Creek, Bullhead City, Arizona",34.4544137,-114.325865,10,,OK,route
42,,,,"Clairemont Dr. & Burgener Blvd., San Diego, California",,,0,,ZERO_RESULTS,
43,ROOFTOP,"3500 S Glenstone Ave, Springfield, MO 65804, USA",ChIJpTlCDUt7z4cRj5HZIhV1xl4,"Glenstone and E. Edgewood, Springfield, Missouri",37.149623,-93.256609,1,65804,OK,"establishment,food,point_of_interest,restaurant"
44,APPROXIMATE,"Madison, WI, USA",ChIJ_xkgOm1TBogRmEFIurX8DE4,"Madison & Fair Oaks, Fair Oaks, California",43.0730517,-89.4012302,1,,OK,"locality,political"
45,GEOMETRIC_CENTER,"361 South Rt 18, East Brunswick, NJ 08816, United States",ChIJMWHS5lPPw4kR4JJTd6NQzUI,"Rte 18 South-East Brunswick, East Brunswick, NewJersey",40.4517661,-74.3991137,1,08816,OK,"cafe,establishment,food,point_of_interest,restaurant,store"
46,GEOMETRIC_CENTER,"Spring Cypress, Broussard, LA 70518, USA",ChIJWcpOzz19I4YRZoHgR6gWbq8,"Spring Cypress & Champion Forest, Spring, Texas",30.1141915,-91.97045179999999,1,70518,OK,route
47,GEOMETRIC_CENTER,"CA-198, California, USA",ChIJeZnpsR2UlIAR6alYbcCi0Ck,"Highway 198 & Highway 43, Hanford, California",36.28610159999999,-119.7995285,1,,OK,route
48,GEOMETRIC_CENTER,"E Gregory St, Pensacola, FL, USA",ChIJ4QOygLfAkIgRF8AzyNCr8z4,"E Gregory St & N 10th Ave, Pensacola, Florida",30.4174998,-87.20402469999999,1,,OK,route
